eFG_pct,Team_eFG_pct,2019_eFG_pct,Last_3_eFG_pct,Last_1_eFG_pct,Home_eFG_pct,Away_eFG_pct,2018_eFG_pct,2019_Turnover_rate,Last_3_Turnover_rate,Last_1_Turnover_rate,Home_Turnover_rate,Away_Turnover_rate,2018_Turnover_rate,2019_Offensive_Rebound_Rate,Last_3_Offensive_Rebound_Rate,Last_1_Offensive_Rebound_Rate,Home_Offensive_Rebound_Rate,Away_Offensive_Rebound_Rate,2018_Offensive_Rebound_Rate,2019_Free_Throw_Pct,Last_3_Free_Throw_Pct,Last_1_Free_Throw_Pct,Home_Free_Throw_Pct,Away_Free_Throw_Pct,2018_Free_Throw_Pct,,,
217,Columbia, 0.48 , 0.51 , 0.45 , 0.55 , 0.46 , 0.52 , 0.17 , 0.14 , 0.15 , 0.17 , 0.17 , 0.18 , 0.19 , 0.15 , 0.17 , 0.20 , 0.19 , 0.22 , 0.66 , 0.66 , 0.65 , 0.59 , 0.69 , 0.69 ,,,
242,Connecticut, 0.47 , 0.52 , 0.53 , 0.46 , 0.49 , 0.51 , 0.16 , 0.15 , 0.22 , 0.15 , 0.17 , 0.18 , 0.31 , 0.35 , 0.47 , 0.32 , 0.31 , 0.30 , 0.74 , 0.70 , 0.60 , 0.73 , 0.77 , 0.68 ,,,
290,Coppin State, 0.45 , 0.53 , 0.59 , 0.47 , 0.45 , 0.45 , 0.18 , 0.14 , 0.14 , 0.20 , 0.17 , 0.23 , 0.21 , 0.18 , 0.08 , 0.24 , 0.20 , 0.24 , 0.67 , 0.66 , 0.81 , 0.66 , 0.67 , 0.67 ,,,
288,Cornell, 0.45 , 0.40 , 0.41 , 0.48 , 0.44 , 0.51 , 0.16 , 0.16 , 0.05 , 0.11 , 0.19 , 0.19 , 0.28 , 0.33 , 0.27 , 0.24 , 0.30 , 0.16 , 0.72 , 0.69 , 0.67 , 0.75 , 0.71 , 0.72 ,,,
33,Creighton, 0.55 , 0.57 , 0.63 , 0.57 , 0.50 , 0.56 , 0.16 , 0.17 , 0.18 , 0.16 , 0.18 , 0.18 , 0.24 , 0.24 , 0.16 , 0.22 , 0.29 , 0.22 , 0.67 , 0.73 , 0.80 , 0.72 , 0.55 , 0.68 ,,,
252,CS Bakersfld, 0.47 , 0.47 , 0.52 , 0.46 , 0.48 , 0.47 , 0.23 , 0.20 , 0.16 , 0.21 , 0.25 , 0.18 , 0.36 , 0.44 , 0.44 , 0.39 , 0.32 , 0.36 , 0.66 , 0.60 , 0.60 , 0.67 , 0.65 , 0.68 ,,,
322,CS Fullerton, 0.43 , 0.44 , 0.42 , 0.40 , 0.44 , 0.49 , 0.19 , 0.19 , 0.19 , 0.20 , 0.19 , 0.19 , 0.21 , 0.21 , 0.21 , 0.20 , 0.21 , 0.22 , 0.66 , 0.71 , 0.75 , 0.81 , 0.62 , 0.71 ,,,
164,Dartmouth, 0.49 , 0.54 , 0.41 , 0.44 , 0.50 , 0.52 , 0.22 , 0.23 , 0.32 , 0.20 , 0.22 , 0.17 , 0.20 , 0.14 , 0.19 , 0.20 , 0.20 , 0.21 , 0.62 , 0.67 , 0.80 , 0.54 , 0.63 , 0.71 ,,,
59,Davidson, 0.53 , 0.52 , 0.61 , 0.65 , 0.49 , 0.53 , 0.17 , 0.17 , 0.18 , 0.13 , 0.18 , 0.16 , 0.17 , 0.15 , 0.18 , 0.27 , 0.15 , 0.22 , 0.77 , 0.79 , 0.64 , 0.78 , 0.77 , 0.75 ,,,
1,Dayton, 0.63 , 0.65 , 0.66 , 0.64 , 0.63 , 0.56 , 0.17 , 0.18 , 0.17 , 0.15 , 0.19 , 0.18 , 0.28 , 0.22 , 0.33 , 0.34 , 0.19 , 0.25 , 0.69 , 0.64 , 0.57 , 0.66 , 0.73 , 0.69 ,,,
53,Delaware, 0.53 , 0.52 , 0.42 , 0.55 , 0.53 , 0.53 , 0.16 , 0.15 , 0.12 , 0.14 , 0.17 , 0.17 , 0.21 , 0.20 , 0.22 , 0.19 , 0.22 , 0.22 , 0.76 , 0.88 , 0.86 , 0.86 , 0.69 , 0.73 ,,,
275,Delaware St, 0.46 , 0.44 , 0.49 , 0.44 , 0.47 , 0.40 , 0.19 , 0.17 , 0.19 , 0.15 , 0.23 , 0.19 , 0.19 , 0.18 , 0.26 , 0.16 , 0.20 , 0.25 , 0.71 , 0.78 , 0.79 , 0.73 , 0.69 , 0.68 ,,,
264,Denver, 0.46 , 0.46 , 0.63 , 0.57 , 0.43 , 0.50 , 0.21 , 0.27 , 0.36 , 0.24 , 0.20 , 0.19 , 0.18 , 0.24 , 0.10 , 0.14 , 0.19 , 0.25 , 0.65 , 0.72 , 0.72 , 0.68 , 0.64 , 0.76 ,,,
63,DePaul, 0.53 , 0.49 , 0.44 , 0.52 , 0.55 , 0.53 , 0.17 , 0.17 , 0.17 , 0.19 , 0.13 , 0.18 , 0.34 , 0.36 , 0.29 , 0.32 , 0.37 , 0.30 , 0.62 , 0.63 , 0.56 , 0.58 , 0.67 , 0.73 ,,,
331,Detroit, 0.42 , 0.41 , 0.32 , 0.32 , 0.44 , 0.50 , 0.20 , 0.22 , 0.25 , 0.25 , 0.20 , 0.16 , 0.23 , 0.26 , 0.28 , 0.28 , 0.23 , 0.28 , 0.80 , 0.83 , 0.94 , 0.94 , 0.78 , 0.72 ,,,
111,Drake, 0.51 , 0.48 , 0.53 , 0.59 , 0.42 , 0.53 , 0.21 , 0.18 , 0.14 , 0.20 , 0.21 , 0.19 , 0.26 , 0.24 , 0.12 , 0.23 , 0.28 , 0.21 , 0.69 , 0.66 , 0.71 , 0.72 , 0.65 , 0.76 ,,,
106,Drexel, 0.52 , 0.52 , 0.37 , 0.56 , 0.46 , 0.51 , 0.24 , 0.23 , 0.21 , 0.22 , 0.27 , 0.16 , 0.28 , 0.29 , 0.34 , 0.29 , 0.26 , 0.26 , 0.71 , 0.69 , 0.75 , 0.71 , 0.70 , 0.75 ,,,
79,Duke, 0.52 , 0.58 , 0.53 , 0.54 , 0.50 , 0.54 , 0.19 , 0.17 , 0.11 , 0.19 , 0.18 , 0.17 , 0.35 , 0.25 , 0.25 , 0.36 , 0.35 , 0.35 , 0.69 , 0.78 , 1.00 , 0.65 , 0.73 , 0.69 ,,,
92,Duquesne, 0.52 , 0.55 , 0.51 , 0.50 , 0.54 , 0.50 , 0.17 , 0.17 , 0.20 , 0.19 , 0.16 , 0.19 , 0.30 , 0.30 , 0.36 , 0.32 , 0.26 , 0.30 , 0.78 , 0.74 , 0.87 , 0.82 , 0.73 , 0.69 ,,,
283,E Carolina, 0.46 , 0.45 , 0.42 , 0.47 , 0.45 , 0.46 , 0.17 , 0.12 , 0.13 , 0.15 , 0.17 , 0.19 , 0.31 , 0.31 , 0.33 , 0.32 , 0.30 , 0.26 , 0.73 , 0.73 , 0.61 , 0.58 , 0.80 , 0.68 ,,,
168,E Illinois, 0.49 , 0.53 , 0.68 , 0.61 , 0.45 , 0.50 , 0.19 , 0.20 , 0.27 , 0.20 , 0.18 , 0.19 , 0.30 , 0.39 , 0.50 , 0.39 , 0.26 , 0.28 , 0.70 , 0.73 , 0.74 , 0.78 , 0.65 , 0.69 ,,,
344,E Kentucky, 0.41 , 0.36 , 0.39 , 0.54 , 0.34 , 0.48 , 0.25 , 0.23 , 0.21 , 0.26 , 0.24 , 0.18 , 0.20 , 0.22 , 0.13 , 0.23 , 0.18 , 0.26 , 0.75 , 0.74 , 0.76 , 0.74 , 0.75 , 0.71 ,,,
152,E Michigan, 0.50 , 0.51 , 0.54 , 0.72 , 0.46 , 0.49 , 0.25 , 0.23 , 0.29 , 0.25 , 0.25 , 0.20 , 0.19 , 0.15 , 0.12 , 0.20 , 0.18 , 0.33 , 0.67 , 0.63 , 0.58 , 0.73 , 0.66 , 0.62 ,,,
